category,entries
Category 26 : Other Mead,Sponsored by : Celestial Meads 103 Entries
Category 27 : Standard Cider and Perry,Sponsored by : Woodchuck Hard Cider 96 Entries
Category 28 : Specialty Cider and Perry,Sponsored by : Woodchuck Hard Cider 90 Entries
Category 1 : Light Lager,"Sponsored by : Five Star Products & Services, LLC 174 Entries"
Category 2 : Pilsner,Sponsored by : Beer & Wine Makers Warehouse 183 Entries
Category 3 : European Amber Lager,Sponsored by : How to Brew by John Palmer 145 Entries
Category 4 : Dark Lager,Sponsored by : Briess Malt & Ingredients Co 144 Entries
Category 5 : Bock,Sponsored by : Washington Hop Commission 191 Entries
Category 6 : Light Hybrid Beer,Sponsored by : Cargill World Select c/o Cargill Malt 246 Entries
Category 7 : Amber Hybrid Beer,Sponsored by : Grape & Granary 152 Entries
Category 8 : English Pale Ale,Sponsored by : St Louis Wine & Beer Making 187 Entries
Category 9 : Scottish and Irish Ale,Sponsored by : Brew Brothers 247 Entries
Category 10 : American Ale,Sponsored by : BJ's Restaurant & Brewery 509 Entries
Category 11 : English Brown Ale,Sponsored by : Alternative Beverage 199 Entries
Category 12 : Porter,Sponsored by : Deschutes Brewery 293 Entries
Category 13 : Stout,Sponsored by : Brew & Grow 477 Entries
Category 14 : India Pale Ale (IPA),Sponsored by : Anderson Valley Brewing Co 387 Entries
Category 15 : German Wheat and Rye Beer,Sponsored by : Widmer Brothers Brewing Co 206 Entries
Category 16 : Belgian and French Ale,Sponsored by : Port Brewing Co/The Lost Abbey 410 Entries
Category 17 : Sour Ale,Sponsored by : Capitan Lawrence Brewing Co 163 Entries
Category 18 : Belgian Strong Ale,Sponsored by : Dingemans c/o Cargill Malt 362 Entries
Category 19 : Strong Ale,Sponsored by : Northern Brewer 216 Entries
Category 20 : Fruit Beer,130 Entries
Category 21 : Spice/Herb/Vegetable Beer,Sponsored by : High Gravity Homebrewing & Winemaking Supplies 245 Entries
Category 22 : Smoke-Flavored and Wood-Aged Beer,Sponsored by : Alaskan Brewing Co 226 Entries
Category 23 : Specialty Beer,Sponsored by : The Hop Shack 275 Entries
Category 24 : Traditional Mead,88 Entries
Category 25 : Melomel (Fruit Mead),Sponsored by : Bacchus and Barleycorn 143 Entries
Category 26 : Other Mead,114 Entries
Category 27 : Standard Cider and Perry,Sponsored by : Woodchuck Draft Cider 97 Entries
Category 28 : Specialty Cider and Perry,Sponsored by : Woodchuck Draft Cider 78 Entries
Category 1 : Light Lager,"Sponsored by : Five Star Products & Services, LLC 155 Entries"
Category 2 : Pilsner,Sponsored by : Beer & Wine Makers Warehouse 172 Entries
Category 3 : European Amber Lager,Sponsored by : How to Brew by John Palmer 96 Entries
Category 4 : Dark Lager,Sponsored by : Briess Malt & Ingredients Co. 136 Entries
Category 5 : Bock,Sponsored by : Washington Hop Commission 155 Entries
Category 6 : Light Hybrid Beer,Sponsored by : Cargill World Select c/o Cargill Malt 208 Entries
Category 7 : Amber Hybrid Beer,Sponsored by : Grape & Granary 100 Entries
Category 8 : English Pale Ale,Sponsored by : St Louis Wine & Beer Making 196 Entries
Category 9 : Scottish and Irish Ale,225 Entries
Category 10 : American Ale,Sponsored by : BJ's Restaurant & Brewery 364 Entries
Category 11 : English Brown Ale,Sponsored by : Alternative Beverage 141 Entries
Category 12 : Porter,Sponsored by : Deschutes Brewery 226 Entries
Category 13 : Stout,Sponsored by : Brew & Grow 374 Entries
Category 14 : India Pale Ale (IPA),Sponsored by : Anderson Valley Brewing Co. 330 Entries
Category 15 : German Wheat and Rye Beer,Sponsored by : Widmer Brothers Brewing Co. 164 Entries
Category 16 : Belgian and French Ale,334 Entries
Category 17 : Sour Ale,Sponsored by : Capitan Lawrence Brewing Co. 148 Entries
Category 18 : Belgian Strong Ale,Sponsored by : Dingemans c/o Cargill Malt 322 Entries
Category 19 : Strong Ale,Sponsored by : Northern Brewer 192 Entries
Category 20 : Fruit Beer,117 Entries
Category 21 : Spice/Herb/Vegetable Beer,Sponsored by : High Gravity Homebrewing & Winemaking Supplies 208 Entries
Category 22 : Smoke-Flavored and Wood-Aged Beer,Sponsored by : Alaskan Brewing Co. 182 Entries
Category 23 : Specialty Beer,Sponsored by : The Beverage People 197 Entries
Category 24 : Traditional Mead,75 Entries
Category 25 : Melomel (Fruit Mead),Sponsored by : Bacchus and Barleycorn 118 Entries
Category 26 : Other Mead,88 Entries
Category 27 : Standard Cider and Perry,Sponsored by : Woodchuck Draft Cider 69 Entries
Category 28 : Specialty Cider and Perry,Sponsored by : Woodchuck Draft Cider 73 Entries
Category 1 : Light Lager,"Sponsored by : Five Star Products & Services, LLC 170 Entries"
Category 2 : Pilsner,Sponsored by : Beer & Wine Makers Warehouse 155 Entries
Category 3 : European Amber Lager,Sponsored by : How to Brew by John Palmer 105 Entries
Category 4 : Dark Lager,Sponsored by : Briess Malt & Ingredients Co 158 Entries
Category 5 : Bock,Sponsored by : Washington Hop Commission 177 Entries
Category 6 : Light Hybrid Beer,Sponsored by : Cargill World Select c/o Cargill Malt 248 Entries
Category 7 : Amber Hybrid Beer,Sponsored by : Grape & Granary 150 Entries
Category 8 : English Pale Ale,Sponsored by : St Louis Wine & Beer Making 222 Entries
Category 9 : Scottish and Irish Ale,Sponsored by : Homebrew Depot 234 Entries
Category 10 : American Ale,Sponsored by : BJ's Restaurant & Brewery 430 Entries
Category 11 : English Brown Ale,Sponsored by : Alternative Beverage 163 Entries
Category 12 : Porter,Sponsored by : Deschutes Brewery 270 Entries
Category 13 : Stout,Sponsored by : Brew & Grow 418 Entries
Category 14 : India Pale Ale (IPA),Sponsored by : Anderson Valley Brewing Co 332 Entries
Category 15 : German Wheat and Rye Beer,Sponsored by : Widmer Brothers Brewing Co 179 Entries
Category 16 : Belgian and French Ale,Sponsored by : S.A. Bieres de Chimay c/o Manneken-Brussel Imports 317 Entries
Category 17 : Sour Ale,Sponsored by : Captain Lawrence Brewing Co 141 Entries
Category 18 : Belgian Strong Ale,Sponsored by : Dingemans c/o Cargill Malt 345 Entries
Category 19 : Strong Ale,Sponsored by : Northern Brewer 232 Entries
Category 20 : Fruit Beer,Sponsored by : Paradise Brewing Supplies 114 Entries
Category 21 : Spice/Herb/Vegetable Beer,Sponsored by : High Gravity Homebrewing & Winemaking Supplies 185 Entries
Category 22 : Smoke-Flavored and Wood-Aged Beer,Sponsored by : Alaskan Brewing Co 165 Entries
Category 23 : Specialty Beer,Sponsored by : The Beverage People 186 Entries
Category 24 : Traditional Mead,Sponsored by : Redstone Meadery 124 Entries
Category 25 : Melomel (Fruit Mead),Sponsored by : Bacchus and Barleycorn 148 Entries
Category 26 : Other Mead,Sponsored by : Main Squeeze 107 Entries
Category 27 : Standard Cider and Perry,Sponsored by : Woodchuck Draft Cider 93 Entries
Category 28 : Specialty Cider and Perry,Sponsored by : Woodchuck Draft Cider 76 Entries
Category 1 : Light Lager,Sponsored by : Beer & Wine Makers Warehouse 170 Entries
Category 2 : Pilsner,Sponsored by : BeerInfo.com 176 Entries
Category 3 : European Amber Lager,Sponsored by : How to Brew by John Palmer 117 Entries
Category 4 : Dark Lager,Sponsored by : Briess Malt & Ingredients Co 129 Entries
Category 5 : Bock,Sponsored by : Washington Hop Commission 164 Entries
Category 6 : Light Hybrid Beer,Sponsored by : Cargill World Select c/o Cargill Malt 238 Entries
Category 7 : Amber Hybrid Beer,Sponsored by : Meussdoerffer c/o Cargill Malt 127 Entries
Category 8 : English Pale Ale,Sponsored by : St Louis Wine & Beer Making 219 Entries
Category 9 : Scottish and Irish Ale,Sponsored by : The WeekEnd Brewer 238 Entries
Category 10 : American Ale,Sponsored by : BJ's Restaurant & Brewery 388 Entries
Category 11 : English Brown Ale,Sponsored by : Alternative Beverage 133 Entries
Category 12 : Porter,Sponsored by : Deschutes Brewery 236 Entries
Category 13 : Stout,Sponsored by : Brew & Grow 366 Entries
Category 14 : India Pale Ale (IPA),Sponsored by : Anderson Valley Brewing Co. 335 Entries
Category 15 : German Wheat and Rye Beer,Sponsored by : Widmer Brothers Brewing Co 167 Entries
Category 16 : Belgian and French Ale,Sponsored by : S.A. Bieres de Chimay c/o Manneken-Brussel Imports 298 Entries
Category 17 : Sour Ale,106 Entries
Category 18 : Belgian Strong Ale,Sponsored by : Dingemans c/o Cargill Malt 281 Entries
Category 19 : Strong Ale,Sponsored by : Northern Brewer 179 Entries
Category 20 : Fruit Beer,99 Entries
Category 21 : Spice/Herb/Vegetable Beer,173 Entries
Category 22 : Smoke-Flavored and Wood-Aged Beer,Sponsored by : Alaskan Brewing Co 133 Entries
Category 23 : Specialty Beer,Sponsored by : The Beverage People 155 Entries
Category 24 : Traditional Mead,Sponsored by : The Winemaker Shop 102 Entries
Category 25 : Melomel (Fruit Mead),Sponsored by : Bacchus & Barleycorn Ltd 135 Entries
Category 26 : Other Mead,102 Entries
Category 27 : Standard Cider and Perry,Sponsored by : Woodchuck Draft Cider 47 Entries
Category 28 : Specialty Cider and Perry,Sponsored by : Woodchuck Draft Cider 39 Entries
Category 1 : Light Lager,Sponsored by : Beer & Wine Makers Warehouse 136 Entries
Category 2 : Pilsner,Sponsored by : Beer & Wine Makers Warehouse 153 Entries
Category 3 : European Amber Lager,Sponsored by : How to Brew by John Palmer 126 Entries
Category 4 : Dark Lager,Sponsored by : Briess Malt & Ingredients Co 114 Entries
Category 5 : Bock,Sponsored by : Washington Hop Commission 153 Entries
Category 6 : Light Hybrid Beer,Sponsored by : Cargill World Select c/o Cargill Malt 184 Entries
Category 7 : Amber Hybrid Beer,Sponsored by : Meussdoerffer c/o Cargill Malt 115 Entries
Category 8 : English Pale Ale,Sponsored by : St Louis Wine & Beer Making 179 Entries
Category 9 : Scottish and Irish Ale,212 Entries
Category 10 : American Ale,Sponsored by : BJ's Restaurant & Brewery 358 Entries
Category 11 : English Brown Ale,Sponsored by : Alternative Beverage 150 Entries
Category 12 : Porter,Sponsored by : Deschutes Brewery 205 Entries
Category 13 : Stout,338 Entries
Category 14 : India Pale Ale (IPA),Sponsored by : Anderson Valley Brewing Co 270 Entries
Category 15 : German Wheat and Rye Beer,Sponsored by : Widmer Brothers Brewing Co 132 Entries
Category 16 : Belgian and French Ale,Sponsored by : S.A. Bieres de Chimay c/o Manneken-Brussel Imports 220 Entries
Category 17 : Sour Ale,98 Entries
Category 18 : Belgian Strong Ale,Sponsored by : Dingemans c/o Cargill Malt 250 Entries
Category 19 : Strong Ale,Sponsored by : WeekEnd Brewer 160 Entries
Category 20 : Fruit Beer,Sponsored by : Steinbart Wholesale 98 Entries
Category 21 : Spice/Herb/Vegetable Beer,Sponsored by : Silver Hammer Brewing 158 Entries
Category 22 : Smoke-Flavored and Wood-Aged Beer,Sponsored by : Alaskan Brewing Co 104 Entries
Category 23 : Specialty Beer,Sponsored by : The Beverage People 162 Entries
Category 24 : Traditional Mead,Sponsored by : Winemaker Shop 100 Entries
Category 25 : Melomel (Fruit Mead),Sponsored by : Bacchus and Barleycorn 131 Entries
Category 26 : Other Mead,Sponsored by : Home Brew Supply 99 Entries
Category 27 : Standard Cider and Perry,42 Entries
Category 28 : Specialty Cider and Perry,37 Entries
Category 29 : New Entrants,Sponsored by : Northern Brewer Ltd. 96 Entries
Category 1 : Light Lager,Sponsored by : Beer & Wine Makers Warehouse 131 Entries
Category 2 : Pilsner,Sponsored by : Beer & Wine Makers Warehouse 138 Entries
Category 3 : European Amber Lager,Sponsored by : How To Brew by John Palmer 102 Entries
Category 4 : Dark Lager,Sponsored by : Breiss Malt & Ingredients Company 77 Entries
Category 5 : Bock,Sponsored by : Washington Hop Commission 118 Entries
Category 6 : Light Hybrid Beer,Sponsored by : Cargill World Select c/o Cargill Malt 186 Entries
Category 7 : Amber Hybrid Beer,Sponsored by : Meussdoerffer c/o Cargill Malt 110 Entries
Category 8 : English Pale Ale,Sponsored by : St. Louis Wine & Beer Making 172 Entries
Category 9 : Scottish and Irish Ale,Sponsored by : HopTech Homebrewing Supplies 221 Entries
Category 10 : American Ale,270 Entries
Category 11 : English Brown Ale,Sponsored by : Alternative Beverage 89 Entries
Category 12 : Porter,Sponsored by : Deschutes Brewery 190 Entries
Category 13 : Stout,Sponsored by : Brew & Grow 305 Entries
Category 14 : India Pale Ale (IPA),Sponsored by : Anderson Valley Brewing Company 255 Entries
Category 15 : German Wheat and Rye Beer,Sponsored by : Widmer Brothers Brewing Company 121 Entries
Category 16 : Belgian and French Ale,Sponsored by : S.A. Bieres de Chimay c/o Manneken-Brussel Imports Inc. 197 Entries
Category 17 : Sour Ale,Sponsored by : The Beverage People 108 Entries
Category 18 : Belgian Strong Ale,Sponsored by : Dingemans c/o Cargill Malt 218 Entries
Category 19 : Strong Ale,Sponsored by : Austin Homebrew 217 Entries
Category 20 : Fruit Beer,Sponsored by : Steinbart Wholesale 94 Entries
Category 21 : Spice/Herb/Vegetable Beer,144 Entries
Category 22 : Smoke-Flavored and Wood-Aged Beer,Sponsored by : Alaskan Brewing Company 112 Entries
Category 23 : Specialty Beer,Sponsored by : Alaskan Brewing Company 106 Entries
Category 24 : Traditional Mead,Sponsored by : Winemaker Shop 90 Entries
Category 25 : Melomel (Fruit Mead),Sponsored by : Bacchus & Barleycorn 126 Entries
Category 26 : Other Mead,Sponsored by : Home Brew Supply 76 Entries
Category 27 : Standard Cider and Perry,27 Entries
Category 28 : Specialty Cider and Perry,34 Entries
Category 29 : New Entrants,Sponsored by : Northern Brewer 94 Entries
Category 1 : American Lager,Sponsored by : Homebrew Depot 133 Entries
Category 2 : European Pale Lager,225 Entries
Category 3 : Light Ale,Sponsored by : Northwestern Extract 129 Entries
Category 4 : Bitter & English Pale Ale,Sponsored by : St. Louis Wine & Beer Making 237 Entries
Category 5 : Scottish Ales,98 Entries
Category 6 : American Pale Ale,Sponsored by : BJ's Restaurant & Brewery 313 Entries
Category 7 : India Pale Ale,191 Entries
Category 8 : ,Sponsored by : Meussdoerffer c/o Cargill Malt 149 Entries
Category 9 : German Amber Lager,115 Entries
Category 10 : Brown Ale,Sponsored by : Alternative Beverage 219 Entries
Category 11 : English & Scottish Strong Ale,Sponsored by : Austin Homebrew Supply 162 Entries
Category 12 : Barleywine & Imperial Stout,Sponsored by : Anchor Brewing Company 250 Entries
Category 13 : European Dark Lager,Sponsored by : Briess Malt & Ingredients Company 95 Entries
Category 14 : Bock,Sponsored by : Washington Hop Commission 149 Entries
Category 15 : Porter,Sponsored by : Deschutes Brewery 179 Entries
Category 16 : Stout,Sponsored by : Brew & Grow 218 Entries
Category 17 : Wheat Beer,Sponsored by : Widmer Brothers Brewing Company 142 Entries
Category 18 : Strong Belgian Ale,Sponsored by : Dingemans c/o Cargill Malt 236 Entries
Category 19 : Belgian & French Ale,Sponsored by : S.A. Bieres de Chimay c/o Manneken-Brussel Imports Inc.  167 Entries
Category 20 : Lambic & Belgian Sour Ale,Sponsored by : The Beverage People 110 Entries
Category 21 : Fruit Beer,Sponsored by : Steinbart Wholesale 83 Entries
Category 22 : Spice/Herb/Vegetable Beer,Sponsored by : Marin Brewing Company 110 Entries
Category 23 : Smoke-Flavored Beer,Sponsored by : Alaskan Brewing Company 75 Entries
Category 24 : Specialty/Experimental/Historical,Sponsored by : Redhook Ale Brewery 169 Entries
Category 25 : Traditional Mead,Sponsored by : Winemaker Shop 106 Entries
Category 26 : Fruit Mead,Sponsored by : Bacchus & Barleycorn 144 Entries
"Category 27 : Herb & Spice, Braggot and Mixed Mead",Sponsored by : Home Brew Supply 85 Entries
Category 28 : Cider,43 Entries
Category 29 : New Entrants,Sponsored by : Northern Brewer 90 Entries
Category 1 : American Lager,
Category 2 : European Pale Lager,
Category 3 : Light Ale,Sponsored by : Northwestern Extract 
Category 4 : Bitter & English Pale Ale,Sponsored by : St. Louis Wine & Beer Making 
Category 5 : Scottish Ales,
Category 6 : American Pale Ale,Sponsored by : BJ's Restaurant & Brewery 
Category 7 : India Pale Ale,Sponsored by : Anderson Valley Brewing Co 
Category 8 : ,Sponsored by : Meussdoerffer c/o Cargill Malt 
Category 9 : German Amber Lager,Sponsored by : Homebrew Headquarter 
Category 10 : Brown Ale,Sponsored by : Alternative Beverage 
Category 11 : English & Scottish Strong Ale,Sponsored by : Austin Homebrew Supply 
Category 12 : Barleywine & Imperial Stout,Sponsored by : Anchor Brewing Company 
Category 13 : European Dark Lager,Sponsored by : Briess Malt & Ingredients Company 
Category 14 : Bock,Sponsored by : Washington Hop Commission 
Category 15 : Porter,Sponsored by : Deschutes Brewery 
Category 16 : Stout,Sponsored by : Brew & Grow 
Category 17 : Wheat Beer,Sponsored by : Widmer Brothers Brewing Company 
Category 18 : Strong Belgian Ale,Sponsored by : Mouterij Dingemans c/o Cargill Malt-Specialty Products Group 
Category 19 : Belgian & French Ale,Sponsored by : S.A. Bieres de Chimay c/o Manneken-Brussel Imports Inc.  
Category 20 : Lambic & Belgian Sour Ale,Sponsored by : The Beverage People 
Category 21 : Fruit Beer,Sponsored by : Steinbart Wholesale 
Category 22 : Spice/Herb/Vegetable Beer,Sponsored by : Marin Brewing Company 
Category 23 : Smoke-Flavored Beer,Sponsored by : Alaskan Brewing Company 
Category 24 : Specialty/Experimental/Historical,Sponsored by : Redhook Ale Brewery 
Category 25 : Traditional Mead,Sponsored by : Winemaker Shop 
Category 26 : Fruit Mead,Sponsored by : Bacchus & Barleycorn 
"Category 27 : Herb & Spice, Braggot and Mixed Mead",Sponsored by : Home Brew Supply 
Category 28 : Cider,
Category 29 : New Entrants,
